Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ding, Liya; Martinez, Aleix M; ",Modelling and recognition of the linguistic components in american sign language,Image and vision computing,27,12,1826-1844,2009,Elsevier
"Vermeerbergen, Myriam; ",Past and current trends in sign language research,Language & Communication,26,2,168-192,2006,Elsevier
"Cooper, Helen; Holt, Brian; Bowden, Richard; ",Sign language recognition,Visual analysis of humans: Looking at People,,,539-562,2011,Springer
"Sultan, Ahmed; Makram, Walied; Kayed, Mohammed; Ali, Abdelmaged Amin; ",Sign language identification and recognition: A comparative study,Open Computer Science,12,1,191-210,2022,De Gruyter
"Zieren, Jörg; Kraiss, Karl-Friedrich; ",Robust person-independent visual sign language recognition,Iberian conference on pattern recognition and image analysis,,,520-528,2005,Springer
"Lugaresi, Camillo; Tang, Jiuqiang; Nash, Hadon; McClanahan, Chris; Uboweja, Esha; Hays, Michael; Zhang, Fan; Chang, Chuo-Ling; Yong, Ming Guang; Lee, Juhyun; ",Mediapipe: A framework for building perception pipelines,arXiv preprint arXiv:1906.08172,,,,2019,
"Cao, Zhe; Hidalgo, Gines; Simon, Tomas; Wei, Shih-En; Sheikh, Yaser; ",Openpose: Realtime multi-person 2d pose estimation using part affinity fields,IEEE transactions on pattern analysis and machine intelligence,43,1,172-186,2019,IEEE
"Yan, Sijie; Xiong, Yuanjun; Lin, Dahua; ",Spatial temporal graph convolutional networks for skeleton-based action recognition,Proceedings of the AAAI conference on artificial intelligence,32,1,,2018,
"Jin, Peng; Li, Hongkai; Yang, Jun; Ren, Yazhou; Li, Yuhao; Zhou, Lilan; Liu, Jin; Zhang, Mei; Pu, Xiaorong; Jing, Siyuan; ",A large dataset covering the Chinese national sign language for dual-view isolated sign language recognition,Scientific Data,12,1,660,2025,Nature Publishing Group UK London
"Ren, Yazhou; Li, Hongkai; Li, Yuhao; Pu, Jingyu; Pu, Xiaorong; Jing, Siyuan; Jin, Peng; He, Lifang; ",Multi-modal isolated sign language recognition based on self-paced learning,Expert Systems with Applications,291,,128340,2025,Elsevier
"Hu, Hezhen; Zhou, Wengang; Pu, Junfu; Li, Houqiang; ",Global-local enhancement network for NMF-aware sign language recognition,"ACM transactions on multimedia computing, communications, and applications (TOMM)",17,3,1-19,2021,"ACM New York, NY"
"Zhou, Hao; Zhou, Wengang; Qi, Weizhen; Pu, Junfu; Li, Houqiang; ",Improving sign language translation with monolingual data by sign back-translation,Proceedings of the IEEE/CVF conference on computer vision and pattern recognition,,,1316-1325,2021,
"Hu, Hongguan; Peng, Jianjun; Xiao, Zhidong; Guo, Li; Hu, Yi; Wu, Di; ",Motion-temporal calibration network for continuous sign language recognition,Complex & Intelligent Systems,12,1,35,2026,Springer
"Arib, Safaeid Hossain; Akter, Rabeya; Rahman, Sejuti; Rahman, Shafin; ",SignFormer-GCN: Continuous sign language translation using spatio-temporal graph convolutional networks,PloS one,20,2,e0316298,2025,"Public Library of Science San Francisco, CA USA"
"Varshini, TS; Rukmani, P; ",MP-GestLSTM: real time gesture detection using MediaPipe and LSTM,Systems Science & Control Engineering,13,1,2587853,2025,Taylor & Francis
"Dhrubo, Tahsinul Haque; Reza, Md Tanzim; Sahariar, Sihab; Mukto, Wasif Afnan; ",Transformer based sign-to-text translation for Bangladeshi sign language,Scientific Reports,,,,2025,Nature Publishing Group UK London
"Nedungadi, Prema; Dileep, Gautham; Geetha, M; Raman, Raghu; ",Vision transformer-powered conversational agent for real-time Indian Sign Language e-governance accessibility,Scientific Reports,15,1,33055,2025,Nature Publishing Group UK London
